DIRECTORIO,NRO_ENCUESTA,HOGAR_NUMERO,PERSONA_NUMERO,P606,P203,P2057,P2059,P2061,P2063,P2063S3,P2065,P2065S3,P3038,P3039
83272,252,1,2,1,2,2,2,2,1,,1,,2,1
83272,252,1,3,4,2,2,2,2,1,,1,,1,2
83273,252,1,1,1,1,2,2,2,1,,1,,1,2
83273,252,1,2,3,2,2,2,2,1,,1,,2,1
83274,252,1,1,2,2,2,2,2,1,,1,,1,2
83275,252,1,1,4,1,2,2,2,2,,1,,2,1
83275,252,1,2,4,2,2,2,2,2,,1,,1,2
83276,252,1,1,1,2,2,2,2,1,,1,,2,1
83276,252,1,2,4,2,2,2,2,1,,1,,1,2
83277,252,1,1,4,2,2,2,2,1,,1,,2,1
83278,252,1,1,4,2,2,2,2,1,,1,,1,2
83278,252,1,2,2,2,2,2,2,1,,1,,2,1
83278,252,2,1,2,2,2,2,2,1,,1,,2,1
83278,252,2,2,4,2,2,2,2,1,,1,,1,2
83279,252,1,1,4,2,2,2,2,1,,1,,1,1
83279,252,1,2,4,2,2,2,2,1,,1,,1,2
83280,252,1,1,6,1,2,2,2,2,,1,,2,1
83280,252,1,2,1,1,2,2,2,1,,1,,1,2
83281,252,1,1,1,99,2,2,2,1,,1,,2,1
83281,252,1,2,1,99,2,2,2,1,,1,,1,2
83281,252,1,3,1,99,2,2,2,1,,1,,1,2
83282,252,1,1,1,99,2,2,2,1,,1,,2,1
83282,252,1,2,1,99,2,2,2,1,,1,,1,2
83282,252,1,5,1,1,1,,2,2,,1,,1,2
83283,252,1,1,1,1,2,2,2,2,,1,,2,1
83283,252,1,2,6,1,2,2,2,2,,1,,1,2
83283,252,1,3,3,2,2,2,2,2,,1,,2,1
83284,252,1,1,1,99,2,2,2,1,,1,,1,2
83284,252,1,2,1,99,2,2,2,1,,1,,2,1
83285,252,1,1,1,1,2,2,2,2,,2,,2,1
83285,252,1,2,4,2,2,2,2,2,,2,,1,2
83286,252,1,1,1,1,1,,1,1,,1,,2,1
83286,252,1,2,4,2,1,,1,1,,1,,1,2
83286,252,1,3,1,1,1,,1,1,,1,,2,1
83286,252,1,4,3,2,1,,1,1,,1,,1,2
83286,252,1,5,2,2,1,,1,1,,1,,1,2
83286,252,1,6,3,1,1,,1,1,,1,,1,2
83287,252,1,1,4,1,1,,1,3,3,1,,1,2
83288,252,1,1,1,1,1,,2,1,,1,,2,1
83288,252,1,2,4,2,1,,2,1,,1,,1,2
83288,252,1,3,1,1,2,2,2,1,,1,,2,1
83288,252,1,4,1,1,2,2,2,1,,1,,2,1
83288,252,1,5,4,2,2,2,2,1,,1,,1,2
83289,252,1,1,1,1,1,,1,1,,1,,1,2
83289,252,1,4,2,2,1,,1,3,3,1,,1,2
83290,252,1,1,4,1,1,,1,1,,1,,1,2
83290,252,1,2,2,2,1,,1,1,,1,,2,1
83290,252,1,3,2,2,2,2,2,1,,1,,2,1
83290,252,1,7,4,2,1,,1,1,,1,,2,1
83291,252,1,1,4,1,1,,1,1,,1,,2,1
83291,252,1,2,4,2,1,,1,1,,1,,1,2
83292,252,1,1,4,1,2,1,1,1,,1,,1,2
83292,252,1,2,1,1,1,,1,1,,1,,2,1
83293,252,1,1,4,1,1,,1,1,,1,,1,2
83293,252,1,2,1,1,1,,1,1,,1,,2,1
83294,252,1,1,1,1,1,,1,1,,1,,2,1
83294,252,1,2,4,2,1,,1,1,,1,,1,2
83295,252,1,1,4,2,1,,1,1,,1,,1,2
83295,252,1,4,6,1,1,,1,1,,1,,2,1
83295,252,1,5,2,2,1,,1,1,,1,,2,1
