DIRECTORIO,REGION,DPTO_CAUCA,PDET,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P,FEX_P_PDET
83360,2,,2,2,1,1,1,1,2,2,2,,1,1,368.36507292,
83361,2,,2,2,1,1,1,1,2,2,2,,2,1,364.48927595,
83362,2,,2,2,1,1,1,0,2,2,2,,2,1,360.28822274,
83363,2,,2,2,1,1,1,1,1,2,2,,1,1,374.58934549,
83364,2,,2,2,1,1,1,1,2,2,2,,1,1,388.89689071,
83365,2,,2,2,1,1,1,1,1,2,2,,1,1,364.42609702,
83366,2,,2,2,1,1,1,1,2,2,2,,2,1,315.48450964,
83367,2,,2,2,1,1,1,1,1,2,2,,1,1,408.85009601,
83368,2,,2,2,1,1,1,1,1,2,2,,1,1,403.97689429,
83369,2,,2,2,1,1,1,1,1,2,2,,1,1,391.21051892,
83370,2,,2,2,1,1,1,1,1,2,2,,1,1,396.70405477,
83371,2,,2,2,1,1,1,1,1,2,2,,1,1,364.06320904,
83372,2,,2,2,1,1,1,1,1,2,2,,1,1,393.04169754,
83373,2,,2,2,1,1,1,1,2,2,2,,1,1,379.94052998,
83374,2,,2,2,1,1,1,1,1,2,2,,1,1,366.34628624,
83375,2,,2,2,1,1,1,1,1,2,2,,1,1,424.2511535,
83376,2,,2,2,1,1,1,1,1,2,2,,1,1,397.55574221,
83377,2,,2,2,1,1,1,1,1,2,2,,1,1,397.64580947,
83378,2,,2,2,1,1,1,1,1,2,2,,2,1,269.12265696,
83379,2,,2,2,1,1,1,1,2,2,2,,1,1,224.91186516,
83380,2,,2,2,1,1,1,1,1,2,2,,1,1,242.70880603,
83381,2,,2,2,1,1,1,1,2,2,2,,1,1,265.03716147,
83382,2,,2,2,1,1,1,1,2,2,2,,1,1,253.41088829,
83383,2,,2,2,1,1,1,1,1,2,2,,1,1,243.92959177,
83384,2,,2,2,1,2,1,1,2,2,2,,1,1,275.73924374,
83385,2,,2,2,1,1,1,1,1,2,2,,1,1,251.57636262,
83386,2,,2,2,1,1,1,1,1,2,2,,1,1,289.92896094,
83387,2,,2,2,1,1,1,1,1,2,2,,1,1,269.56857605,
83388,2,,2,2,1,1,1,1,1,2,2,,1,1,265.03716147,
83389,2,,2,2,1,1,2,,2,2,2,,2,1,496.94467776,
83390,2,,2,2,1,1,2,,2,2,2,,2,1,530.78390411,
83391,2,,2,2,1,1,2,,2,2,2,,2,1,455.0790113,
83392,2,,2,2,1,1,2,,2,2,2,,2,1,497.03083084,
